Phrase,Guidance
"Keep Calm and {Action}","Replace {Action} with a specific, mildly obsessive activity or habit, such as Keep Calm and Bake, Keep Calm and Game, or Keep Calm and Knit."
"Keep Calm, I'm a {Profession}","Replace {Profession} with a trade, hobby, or role, such as mom, software engineer, dog dad, or home cook."
"I Paused My {Activity} to Be Here","Replace {Activity} with an absorbing activity or appointment, such as Netflix, gaming, or gym."
"I'm Not Arguing, I'm a {Profession}","Replace {Profession} with a role known for pedantry, such as engineer, lawyer, teacher, or accountant."
"I'm Not Arguing, I'm Just Explaining Why {Opinion}","Replace {Opinion} with a strongly held, humorous stance, such as cereal is a soup or your way is wrong."
"I Can't, I Have {Activity}","Replace {Activity} with a plan, obligation, or absurd task, such as plans, a date with my couch, or to pet my cat."
"Easily Distracted By {Interest}","Replace {Interest} with something the target audience is enthusiastically obsessed with, such as dogs, books, coffee, or gardening."
"World's Okayest {Role}","Replace {Role} with a role or title, such as Mom, Dad, Employee, or Golfer."
"Fueled By {Thing} and {Emotion}","Replace {Thing} with a consumable and {Emotion} with a driving feeling, such as coffee and anxiety or tea and optimism."
"Powered By {Thing}","Replace {Thing} with an energy source or habit, such as coffee, caffeine, spite, or deadlines."
"Professional {HumorousOccupation}","Replace {HumorousOccupation} with an unexpected or self-deprecating job label, such as snack taster, napper, or couch athlete."
"I Work Hard So My {LovedOneOrPet} Can Have a Better Life","Replace {LovedOneOrPet} with a beloved person or pet, such as cat, dog, kids, or goldfish."
"Straight Outta {PlaceOrTopic}","Replace {PlaceOrTopic} with a place, origin, or niche topic, such as Campus, Deadlines, or Small Town."
"Born To {DreamActivity}, Forced To {Obligation}","Replace {DreamActivity} with a dream pursuit and {Obligation} with a mundane duty, such as snooze and work or travel and meetings."
"Trust Me, I'm a {Profession}","Replace {Profession} with an authority role, used ironically, such as mom, doctor, or certified snack expert."
"I'm Silently Correcting Your {MistakeType}","Replace {MistakeType} with a common error, such as grammar, spelling, or math."
"I'm Not Lazy, I'm {HumorousExcuse}","Replace {HumorousExcuse} with a playful excuse, such as on energy-saving mode, in my rest era, or between tasks."
"Eat. Sleep. {Activity}. Repeat.","Replace {Activity} with an activity repeated daily, such as Game, Knit, or Workout."
"Life Is Better With {Thing}","Replace {Thing} with something that improves life, such as Dogs, Coffee, Books, or Sunshine."
"Home Is Where My {BelovedThing} Is","Replace {BelovedThing} with a cherished possession or companion, such as Dog, Plants, Books, or Heels."
"I Like Big {PluralObject} and I Cannot Lie","Replace {PluralObject} with a beloved plural object, such as Books, Burritos, Paychecks, or Dogs."
"Warning: {HumorousWarning}","Replace {HumorousWarning} with a playful caution, such as I Run on Coffee, May Talk About My Dog, or Hugger on Duty."
"I'm The Reason {HumorousConsequence}","Replace {HumorousConsequence} with an exaggerated outcome, such as My Gym Is Still Open or The Snack Aisle Is Empty."
"{Thing} Because {Reason}","Replace {Thing} with a passion and {Reason} with a humorous justification, such as Coffee Because I Have to Adult."
"Be Nice To Me, I Might Be Your {Profession}","Replace {Profession} with a current or future role, such as Boss, Nurse, or Future Mother-in-Law."
"Everything I Need Is {LocationOrPossession}","Replace {LocationOrPossession} with a place or possession, such as In My Bag, In My Garage, or In This Coffee."
"Everything I Need I Learned From {Source}","Replace {Source} with an unexpected teacher, such as My Cat, The Office, or Bob Ross."
"Real {Role} {Action}","Replace {Role} with a role and {Action} with a verb phrase, such as Real Men Cook or Real Athletes Stretch."
"Mess With {PersonOrThing}, {Consequence}","Replace {PersonOrThing} with a subject and {Consequence} with a playful consequence, such as Mess With the Cat, Get the Claws."
"{Trait} Is Better Than {OppositeTrait}","Replace {Trait} and {OppositeTrait} with opposing traits, such as Sleep Is Better Than Stress."
"{Thing} First. {FollowUpActivity}","Replace {Thing} with a priority and {FollowUpActivity} with what comes next, such as Coffee First. Questions Later."
